Poço,Profundidade (m),Porosidade (%),Densidade bulk rocha seca g/cm3,VP m/s 70 MPa,VS1 m/s 70 MPa,VS2 m/s 70 MPa,K1 GPa 70 MPa,K2 GPa 70 MPa,M1 GPa 70 MPa,M2 GPa 70 MPa,Tamanho do grão,Fração carbonática de microporos,Calcita,Dolomita,Quartzo,Ortoclásio,Albita,Argilas,Pirita,α KT,Litologia
1,0.5,0.82,2.7,6238,3202,3188,68.15,68.48,27.68,27.44,3,64.4,92.1,0,7.9,0,0,0,0,0.7,3
1,2.7,0.39,2.69,6494,3498,3400,69.47,71.89,32.87,31.06,3,70,98.9,0,1.1,0,0,0,0,0.7,2
1,9.85,0.62,2.68,6344,3231,3258,70.54,69.91,27.97,28.44,3,64.27,98.9,0,1.1,0,0,0,0,0.65,2
1,15.7,0.18,2.69,6172,3242,3268,64.87,64.27,28.32,28.77,3,69.43,99.2,0,0.8,0,0,0,0,0.7,2
1,21.1,0.44,2.69,6375,3196,3209,72.58,72.28,27.44,27.66,3,69.86,99.8,0,0.2,0,0,0,0,0.7,1
1,22.1,0.66,2.68,6368,3217,3230,71.81,71.51,27.78,28,2,69.5,99.3,0,0.7,0,0,0,0,0.7,1
1,25.55,0.24,2.69,6207,3221,3206,66.44,66.78,27.91,27.65,2,67.9,100,0,0,0,0,0,0,0.7,2
1,28.45,0.65,2.68,6243,3230,3243,67.11,66.81,27.93,28.16,4,61.87,99.8,0,0.2,0,0,0,0,0.62,1
1,30.4,1.05,2.67,6341,3260,3244,69.62,69.99,28.41,28.14,4,69.72,99.6,0,0.5,0,0,0,0,0.7,1
1,32.35,1.73,2.65,6110,3261,3269,61.36,61.18,28.18,28.32,2,71.35,99.1,0,0.9,0,0,0,0,0.72,2
1,34.4,0.93,2.67,6404,3446,3332,67.27,70.03,31.73,29.66,3,68.72,98.2,0,1.8,0,0,0,0,0.7,2
1,36.45,2.65,2.62,5702,3043,3030,52.89,53.16,24.28,24.08,3,58.75,97.9,0,2.1,0,0,0,0,0.6,1
1,42.4,4.44,2.58,5738,3091,3159,52.02,50.56,24.62,25.72,4,84.17,99,0,1,0,0,0,0,0.85,2
1,56.5,3.39,2.61,5846,3338,3296,50.34,51.31,29.03,28.31,4,34.38,98.2,0,1.8,0,0,0,0,0.35,2
1,64.4,6.4,2.49,4644,2741,2810,28.78,27.5,18.72,19.67,5,43.96,56.4,0,35.1,1.5,2.5,4.5,0,0.75,5
1,66.4,15.2,2.24,3773,2368,2431,15.13,14.23,12.55,13.23,5,52.5,75.7,0,23.4,0,0,0.9,0,0.7,4
1,72.5,15.2,2.26,3701,2242,2321,15.79,14.7,11.34,12.16,4,47.2,75.7,0,23.4,0,0,0.9,0,0.8,4
1,74.4,5.62,2.53,4623,2507,2547,32.89,32.2,15.91,16.42,4,36.5,75.7,0,23.4,0,0,0.9,0,0.5,4
1,76.45,8.61,2.46,4334,2471,2479,26.17,26.04,15.02,15.11,5,67.2,75.7,0,23.4,0,0,0.9,0,0.8,4
1,78.45,16.2,2.21,3730,2084,2248,17.93,15.84,9.59,11.16,5,46.9,75.7,0,23.4,0,0,0.9,0,0.7,4
1,80.4,20.8,2.06,3307,2032,2060,11.21,10.9,8.53,8.76,5,46,11.5,0,85.5,0,0,3,0,0.92,7
1,86.45,6.94,2.48,4890,3065,3029,28.25,28.98,23.31,22.76,4,16.9,23.2,0,76.8,0,0,0,0,0.6,6
1,92.4,11.7,2.33,4036,2585,2523,17.22,18.2,15.59,14.85,4,20.58,11.5,0,85.5,0,0,3,0,0.95,7
1,92.4,11.7,2.33,4036,2585,2523,17.22,18.2,15.59,14.85,4,20.58,11.5,0,85.5,0,0,3,0,0.95,7
1,106.3,9.31,2.4,4049,2390,2448,21.06,20.17,13.71,14.38,4,32.84,11.5,0,85.5,0,0,3,0,0.8,7
1,110.4,6.7,2.49,4745,2585,2626,33.88,33.17,16.64,17.17,5,53.84,75.7,0,23.4,0,0,0.9,0,0.7,4
1,112.4,3.07,2.59,5543,3495,3286,37.41,42.3,31.65,27.98,4,23.6,92.1,0,7.9,0,0,0,0,0.4,3
1,114.35,2.01,2.64,6240,3332,3230,63.74,66.09,29.32,27.55,3,66.15,97.9,0,2.1,0,0,0,0,0.7,1
1,116.35,6.71,2.5,5058,2909,2853,35.78,36.86,21.17,20.37,4,20.2,65.5,0,34,0,0,0.55,0,0.3,3
1,118.4,7.39,2.44,4662,2705,2755,29.21,28.32,17.84,18.51,4,28.91,40,0,55,0,0,3.5,1.5,0.65,7
1,124.4,16.6,2.2,4162,2666,2582,17.27,18.57,15.65,14.68,5,34.55,29,0,61,1.7,2,3.9,2.5,0.85,7
1,126.4,6.84,2.48,5274,2940,2899,40.34,41.13,21.4,20.81,4,79.83,77.17,0,19.37,0.89,0.59,0.89,1.19,0.9,4
1,132.45,7.35,2.48,4599,2567,2611,30.67,29.91,16.34,16.91,5,49.64,89.6,1.2,8.3,0,0,0.9,0,0.55,3
1,134.4,20.2,2.1,3620,1980,1967,16.56,16.7,8.24,8.13,4,51.6,23.9,0,75.6,0,0,0.5,0,0.6,7
1,136.4,14.5,2.26,3771,2344,2306,15.57,16.1,12.41,12.01,5,31.15,23.9,0,75.6,0,0,0.5,0,0.9,7
1,140.4,8.61,2.43,3810,2302,2378,18.14,16.98,12.9,13.77,4,47.49,77.17,0,19.37,0.89,0.59,0.89,1.19,0.6,4
1,146.4,5.43,2.55,5097,2903,2892,37.62,37.83,21.5,21.34,3,45.64,94.9,0,5.1,0,0,0,0,0.48,4
1,148.4,4.23,2.59,5586,2989,3000,49.9,49.67,23.11,23.28,2,81.59,95.5,0,4.1,0,0,0.5,0,0.85,2
2,64.4,1.68,2.65,5463,3105,3066,45.07,45.92,25.57,24.94,2,13.33,66.6,0,33.4,0,0,0,0,0.2,3
2,114.4,3.18,2.62,5226,2820,2995,43.69,40.14,20.8,23.46,4,21.28,84.9,0,15.1,0,0,0,0,0.25,3
2,136.4,2.4,2.63,5640,3142,3102,49.07,49.94,25.98,25.32,3,17.77,88.8,0,11.2,0,0,0,0,0.2,3
2,84.4,5.14,2.54,5123,2942,2943,37.41,37.39,22.02,22.04,3,52.8,75.7,0,23.4,0,0,0.9,0,0.8,4
2,6.3,23.9,2.02,3496,2157,2139,12.15,12.35,9.39,9.23,2,38.03,12.4,0,87.6,0,0,0,0,0.95,6
2,20.45,21.2,2.1,3535,2204,2140,12.62,13.39,10.18,9.6,1,29.24,12.4,0,87.6,0,0,0,0,0.95,6
2,34.4,7.39,2.48,4544,2829,2815,24.73,25,19.84,19.65,2,28.98,12.4,0,87.6,0,0,0,0,0.6,6
2,78.4,5.22,2.54,5026,3046,3068,32.78,32.32,23.59,23.94,2,17.69,41.7,0,58.3,0,0,0,0,0.4,7
